READING_DATETIME,GENERAL_SUPPLY_KWH
2012-04-18,28893.73899999994
2012-04-19,27679.925000000007
2012-04-20,27991.040999999965
2012-04-21,29299.890000000018
2012-04-22,30952.847000000005
2012-04-23,31205.15599999995
2012-04-24,28997.274
2012-04-25,33496.60899999995
2012-04-26,30089.971
2012-04-27,30129.13500000003
2012-04-28,33212.193000000036
2012-04-29,37052.322000000044
2012-04-30,34738.249999999985
2012-05-01,33178.96699999999
2012-05-02,32395.67899999999
2012-05-03,32539.77500000004
2012-05-04,33973.63799999999
2012-05-05,38470.874999999935
2012-05-06,40891.969000000005
2012-05-07,41920.289999999964
2012-05-08,39328.15499999996
2012-05-09,37625.264000000025
2012-05-10,35702.51099999998
2012-05-11,36206.255000000056
2012-05-12,40189.155000000064
2012-05-13,47233.23100000014
2012-05-14,48697.19999999996
2012-05-15,48206.027999999875
2012-05-16,46890.475000000006
2012-05-17,46015.03900000005
2012-05-18,46148.09100000011
2012-05-19,49665.134999999915
2012-05-20,55190.979999999945
2012-05-21,48874.536999999975
2012-05-22,49772.795999999966
2012-05-23,50824.64400000003
2012-05-24,58148.45499999989
2012-05-25,57666.43600000001
2012-05-26,60621.46199999994
2012-05-27,59938.24000000005
2012-05-28,56379.26099999999
2012-05-29,57489.45299999993
2012-05-30,56487.23999999997
2012-05-31,55295.42199999998
2012-06-01,58593.757000000085
2012-06-02,62698.5770000001
2012-06-03,68999.29099999988
2012-06-04,60103.94100000021
2012-06-05,71708.1870000001
2012-06-06,73317.89399999993
2012-06-07,74278.37099999975
2012-06-08,75646.31900000015
2012-06-09,78706.695
2012-06-10,82723.87000000017
2012-06-11,91424.88099999988
2012-06-12,72965.95900000003
2012-06-13,74515.43800000011
2012-06-14,72511.35999999991
2012-06-15,72374.35100000016
2012-06-16,88201.23999999993
2012-06-17,85090.1399999999
2012-06-18,81215.13500000027
2012-06-19,82447.61200000037
2012-06-20,86050.40100000007
2012-06-21,88798.56299999988
2012-06-22,92378.9299999998
2012-06-23,96282.77800000017
